date,calendar_type,event_name,is_working_day
2009-05-18,Canada,Victoria Day,1
2009-05-25,Company,Memorial Day,0
2009-05-25,US,Memorial Day,1
2009-07-01,Canada,Canada Day,1
2009-07-03,Company,Independence Day (Observed),0
2009-07-04,US,Independence Day,1
2009-08-03,Canada,Civic Holiday,1
2009-09-07,Canada,Labour Day,1
2009-09-07,Company,Labor Day,0
2009-09-07,US,Labor Day,1
2009-10-12,Canada,Canadian Thanksgiving,1
2009-11-26,Company,Thanksgiving,0
2009-11-26,US,Thanksgiving,1
2009-11-27,Company,Day after Thanksgiving,0
2009-11-27,US,Day after Thanksgiving,1
2009-12-25,Canada,Christmas Day,1
2009-12-25,Company,Christmas Day,0
2009-12-25,US,Christmas Day,1
2009-12-26,Canada,Boxing Day,1
2010-01-01,Canada,New Year's Day,1
2010-01-01,Company,New Year's Day,0
2010-01-01,US,New Year's Day,1
2010-01-18,US,MLK Day,1
2010-02-15,US,Presidents' Day,1
2010-04-02,Canada,Good Friday,1
2010-05-24,Canada,Victoria Day,1
2010-05-31,Company,Memorial Day,0
2010-05-31,US,Memorial Day,1
2010-07-01,Canada,Canada Day,1
2010-07-04,US,Independence Day,1
2010-07-05,Company,Independence Day (Observed),0
2010-08-02,Canada,Civic Holiday,1
2010-09-06,Canada,Labour Day,1
2010-09-06,Company,Labor Day,0
2010-09-06,US,Labor Day,1
2010-10-11,Canada,Canadian Thanksgiving,1
2010-11-25,Company,Thanksgiving,0
2010-11-25,US,Thanksgiving,1
2010-11-26,Company,Day after Thanksgiving,0
2010-11-26,US,Day after Thanksgiving,1
2010-12-24,Company,Christmas Day (Observed),0
2010-12-25,Canada,Christmas Day,1
2010-12-25,US,Christmas Day,1
2010-12-26,Canada,Boxing Day,1
2010-12-31,Company,New Year's Day (Observed),0
2011-01-01,Canada,New Year's Day,1
2011-01-01,US,New Year's Day,1
2011-01-17,US,MLK Day,1
2011-02-21,US,Presidents' Day,1
2011-04-22,Canada,Good Friday,1
2011-05-23,Canada,Victoria Day,1
2011-05-30,Company,Memorial Day,0
2011-05-30,US,Memorial Day,1
2011-07-01,Canada,Canada Day,1
2011-07-04,Company,Independence Day,0
2011-07-04,US,Independence Day,1
2011-08-01,Canada,Civic Holiday,1
2011-09-05,Canada,Labour Day,1
2011-09-05,Company,Labor Day,0
2011-09-05,US,Labor Day,1
2011-10-10,Canada,Canadian Thanksgiving,1
2011-11-24,Company,Thanksgiving,0
2011-11-24,US,Thanksgiving,1
2011-11-25,Company,Day after Thanksgiving,0
2011-11-25,US,Day after Thanksgiving,1
2011-12-25,Canada,Christmas Day,1
2011-12-25,US,Christmas Day,1
2011-12-26,Canada,Boxing Day,1
2011-12-26,Company,Christmas Day (Observed),0
2012-01-01,Canada,New Year's Day,1
2012-01-01,US,New Year's Day,1
2012-01-02,Company,New Year's Day (Observed),0
2012-01-16,US,MLK Day,1
2012-02-20,US,Presidents' Day,1
2012-04-06,Canada,Good Friday,1
2012-05-21,Canada,Victoria Day,1
2012-05-28,Company,Memorial Day,0
2012-05-28,US,Memorial Day,1
2012-07-01,Canada,Canada Day,1
2012-07-04,Company,Independence Day,0
2012-07-04,US,Independence Day,1
2012-08-06,Canada,Civic Holiday,1
2012-09-03,Canada,Labour Day,1
2012-09-03,Company,Labor Day,0
2012-09-03,US,Labor Day,1
2012-10-08,Canada,Canadian Thanksgiving,1
2012-11-22,Company,Thanksgiving,0
2012-11-22,US,Thanksgiving,1
2012-11-23,Company,Day after Thanksgiving,0
2012-11-23,US,Day after Thanksgiving,1
2012-12-25,Canada,Christmas Day,1
2012-12-25,Company,Christmas Day,0
2012-12-25,US,Christmas Day,1
2012-12-26,Canada,Boxing Day,1
2013-01-01,Canada,New Year's Day,1
2013-01-01,Company,New Year's Day,0
2013-01-01,US,New Year's Day,1
2013-01-21,US,MLK Day,1
2013-02-18,US,Presidents' Day,1
2013-03-29,Canada,Good Friday,1
2013-05-20,Canada,Victoria Day,1
2013-05-27,Company,Memorial Day,0
2013-05-27,US,Memorial Day,1
2013-07-01,Canada,Canada Day,1
2013-07-04,Company,Independence Day,0
2013-07-04,US,Independence Day,1
2013-08-05,Canada,Civic Holiday,1
2013-09-02,Canada,Labour Day,1
2013-09-02,Company,Labor Day,0
2013-09-02,US,Labor Day,1
2013-10-14,Canada,Canadian Thanksgiving,1
2013-11-28,Company,Thanksgiving,0
2013-11-28,US,Thanksgiving,1
2013-11-29,Company,Day after Thanksgiving,0
2013-11-29,US,Day after Thanksgiving,1
2013-12-25,Canada,Christmas Day,1
2013-12-25,Company,Christmas Day,0
2013-12-25,US,Christmas Day,1
2013-12-26,Canada,Boxing Day,1
2014-01-01,Canada,New Year's Day,1
2014-01-01,Company,New Year's Day,0
2014-01-01,US,New Year's Day,1
2014-01-20,US,MLK Day,1
2014-02-17,US,Presidents' Day,1
2014-04-18,Canada,Good Friday,1
2014-05-19,Canada,Victoria Day,1
2014-05-26,Company,Memorial Day,0
2014-05-26,US,Memorial Day,1
